"id","name","bn_name","code","hrms_code","city","phone","email","routing_no","address","recommended_manpower","description","parent_id","type","created_at","updated_at"
112,"Babuganj Branch, Barishal","বাবুগঞ্জ শাখা, বরিশাল","0205","BR02",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:25:35"
113,"Baishari Branch, Barishal","বাইশারী শাখা, বরিশাল","0223","BR03",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:26:26"
114,"Bakerganj Branch, Barishal","বাকেরগঞ্জ শাখা, বরিশাল","0202","BR04",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:26:42"
115,"Banaripara Branch, Barishal","বানারীপাড়া শাখা, বরিশাল","0222","BR05",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:27:02"
116,"Barishal Branch, Barishal","বরিশাল শাখা, বরিশাল","0201","BR06",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:27:22"
117,"Bhashanchar Branch, Barishal","ভাষানচর শাখা, বরিশাল","0212","BR07",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:27:35"
118,"Choygram Bazar Branch, Barishal","ছয়গ্রাম বাজার শাখা, বরিশাল","0228","BR08",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:27:50"
120,"Habibpur Bazar Branch, Barishal","হাবিবপুর বাজার শাখা, বরিশাল","0224","BR10",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:28:02"
121,"Harta Bandar Branch, Barishal","হারতা বন্দর শাখা, বরিশাল","0229","BR11",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:28:28"
119,"Gouranadi Branch, Barishal","গৌরনদী শাখা, বরিশাল","0208","BR09",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:28:39"
122,"Hizla Branch, Barishal","হিজলা শাখা, বরিশাল","0216","BR12",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:28:54"
123,"Karfa Bazar Branch, Barishal","কারফা বাজার শাখা, বরিশাল","0225","BR13",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:29:08"
124,"Kazirhat Branch, Barishal","কাজীরহাট শাখা, বরিশাল","0219","BR14",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:29:31"
125,"Khasherhat Branch, Barishal","খাসেরহাট শাখা, বরিশাল","0215","BR15",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:29:48"
